year;title;studios;producers;winner
1970;Movie 001;Studio A;Producer Alpha;yes
1971;Movie 002;Studio B;Producer Beta;no
1972;Movie 003;Studio C;Producer Charlie;yes
1973;Movie 004;Studio D;Producer Delta;no
1974;Movie 005;Studio E;Producer Echo;yes
1975;Movie 006;Studio F;Producer Foxtrot;no
1976;Movie 007;Studio G;Producer Golf;yes
1977;Movie 008;Studio H;Producer Hotel;no
1978;Movie 009;Studio I;Producer India;yes
1979;Movie 010;Studio J;Producer Juliet;no
1980;Movie 011;Studio K;Producer Kilo;yes
1981;Movie 012;Studio L;Producer Lima;no
1982;Movie 013;Studio M;Producer Mike;yes
1983;Movie 014;Studio N;Producer November;no
1984;Movie 015;Studio O;Producer Oscar;yes
1985;Movie 016;Studio P;Producer Papa;no
1986;Movie 017;Studio Q;Producer Quebec;yes
1987;Movie 018;Studio R;Producer Romeo;no
1988;Movie 019;Studio S;Producer Sierra;yes
1989;Movie 020;Studio T;Producer Tango;no
1990;Movie 021;Studio U;Producer Uniform;yes
1991;Movie 022;Studio V;Producer Victor;no
1992;Movie 023;Studio W;Producer Whiskey;yes
1993;Movie 024;Studio X;Producer X-Ray;no
1994;Movie 025;Studio Y;Producer Yankee;yes
1995;Movie 026;Studio Z;Producer Zulu;no
1996;Movie 027;Studio A;Producer Alpha;yes
1997;Movie 028;Studio B;Producer Beta;no
1998;Movie 029;Studio C;Producer Charlie;yes
1999;Movie 030;Studio D;Producer Delta;no
2000;Movie 031;Studio E;Producer Echo;yes
2001;Movie 032;Studio F;Producer Foxtrot;no
2002;Movie 033;Studio G;Producer Golf;yes
2003;Movie 034;Studio H;Producer Hotel;no
2004;Movie 035;Studio I;Producer India;yes
2005;Movie 036;Studio J;Producer Juliet;no
2006;Movie 037;Studio K;Producer Kilo;yes
2007;Movie 038;Studio L;Producer Lima;no
2008;Movie 039;Studio M;Producer Mike;yes
2009;Movie 040;Studio N;Producer November;no
2010;Movie 041;Studio O;Producer Oscar;yes
2011;Movie 042;Studio P;Producer Papa;no
2012;Movie 043;Studio Q;Producer Quebec;yes
2013;Movie 044;Studio R;Producer Romeo;no
2014;Movie 045;Studio S;Producer Sierra;yes
2015;Movie 046;Studio T;Producer Tango;no
2016;Movie 047;Studio U;Producer Uniform;yes
2017;Movie 048;Studio V;Producer Victor;no
2018;Movie 049;Studio W;Producer Whiskey;yes
2019;Movie 050;Studio X;Producer X-Ray;no
2020;Movie 051;Studio Y;Producer Yankee;yes
2021;Movie 052;Studio Z;Producer Zulu;no
1975;Movie 053;Studio AA;Producer AA;yes
1980;Movie 054;Studio BB;Producer BB;yes
1985;Movie 055;Studio CC;Producer CC;yes
1990;Movie 056;Studio DD;Producer DD;yes
1995;Movie 057;Studio EE;Producer EE;yes
2000;Movie 058;Studio FF;Producer FF;yes
2005;Movie 059;Studio GG;Producer GG;yes
2010;Movie 060;Studio HH;Producer HH;yes
2015;Movie 061;Studio II;Producer II;yes
2020;Movie 062;Studio JJ;Producer JJ;yes
1973;Movie 063;Studio AA;Producer AA;yes
1978;Movie 064;Studio BB;Producer BB;yes
1983;Movie 065;Studio CC;Producer CC;yes
1988;Movie 066;Studio DD;Producer DD;yes
1993;Movie 067;Studio EE;Producer EE;yes
1998;Movie 068;Studio FF;Producer FF;yes
2003;Movie 069;Studio GG;Producer GG;yes
2008;Movie 070;Studio HH;Producer HH;yes
2013;Movie 071;Studio II;Producer II;yes
2018;Movie 072;Studio JJ;Producer JJ;yes
1971;Movie 073;Studio KK;Producer KK;yes
1991;Movie 074;Studio KK;Producer KK;yes
1972;Movie 075;Studio LL;Producer LL;yes
2012;Movie 076;Studio LL;Producer LL;yes
1974;Movie 077;Studio MM;Producer MM;yes
2014;Movie 078;Studio MM;Producer MM;yes
